# the oscillation parameters of (dm2, sin^2_theta14, and sin^2_theta_24) are divided into 80x60x60 grids 
# column 1-3: index for the dm2, sin^2_theta14, and sin^2_theta_24
# column 4-6: values of the dm2 (eV^2), sin^2_theta14, and sin^2_theta_24
# column 7: delta_Chi2 = Chi2_gridpoint - Chi2_globalmin
 1  6 24   0.0106 0.000233 0.003687       2.52963181
 1  6 25   0.0106 0.000233 0.004299       2.52963988
 1  6 26   0.0106 0.000233 0.005012       2.52964929
 1  6 27   0.0106 0.000233 0.005843       2.52966023
 1  6 28   0.0106 0.000233 0.006813       2.52967297
 1  6 29   0.0106 0.000233 0.007943       2.52968779
 1  6 30   0.0106 0.000233 0.009261       2.52970503
 1  6 31   0.0106 0.000233 0.010798       2.52972507
 1  6 32   0.0106 0.000233 0.012589       2.52974836
 1  6 33   0.0106 0.000233 0.014678       2.52977541
 1  6 34   0.0106 0.000233 0.017113       2.52980681
 1  6 35   0.0106 0.000233 0.019953       2.52984322
 1  6 36   0.0106 0.000233 0.023263       2.52988540
 1  6 37   0.0106 0.000233 0.027123       2.52993423
 1  6 38   0.0106 0.000233 0.031623       2.52999067
 1  6 39   0.0106 0.000233 0.036869       2.53005581
 1  6 40   0.0106 0.000233 0.042987       2.53013086
 1  6 41   0.0106 0.000233 0.050119       2.53021713
 1  6 42   0.0106 0.000233 0.058434       2.53031605
 1  6 43   0.0106 0.000233 0.068129       2.53042911
 1  6 44   0.0106 0.000233 0.079433       2.53055786
 1  6 45   0.0106 0.000233 0.092612       2.53070377
 1  6 46   0.0106 0.000233 0.107978       2.53086820
 1  6 47   0.0106 0.000233 0.125893       2.53105217
 1  6 48   0.0106 0.000233 0.146780       2.53125613
 1  6 49   0.0106 0.000233 0.171133       2.53147962
 1  6 50   0.0106 0.000233 0.199526       2.53172072
 1  6 51   0.0106 0.000233 0.232631       2.53198439
 1  6 52   0.0106 0.000233 0.271227       2.53224589
 1  6 53   0.0106 0.000233 0.316228       2.53250183
 1  6 54   0.0106 0.000233 0.368695       2.53273341
 1  6 55   0.0106 0.000233 0.429866       2.53291320
 1  6 56   0.0106 0.000233 0.501187       2.53303907
 1  6 57   0.0106 0.000233 0.584341       2.53298113
 1  6 58   0.0106 0.000233 0.681292       2.53268620
 1  6 59   0.0106 0.000233 0.794328       2.53203352
 1  6 60   0.0106 0.000233 0.926119       2.53085285
 1  7  1   0.0106 0.000271 0.000108       2.52958413
 1  7  2   0.0106 0.000271 0.000126       2.52958437
 1  7  3   0.0106 0.000271 0.000147       2.52958465
 1  7  4   0.0106 0.000271 0.000171       2.52958497
 1  7  5   0.0106 0.000271 0.000200       2.52958535
 1  7  6   0.0106 0.000271 0.000233       2.52958579
 1  7  7   0.0106 0.000271 0.000271       2.52958631
 1  7  8   0.0106 0.000271 0.000316       2.52958691
 1  7  9   0.0106 0.000271 0.000369       2.52958761
 1  7 10   0.0106 0.000271 0.000430       2.52958842
 1  7 11   0.0106 0.000271 0.000501       2.52958938
 1  7 12   0.0106 0.000271 0.000584       2.52959048
 1  7 13   0.0106 0.000271 0.000681       2.52959178
 1  7 14   0.0106 0.000271 0.000794       2.52959328
 1  7 15   0.0106 0.000271 0.000926       2.52959504
 1  7 16   0.0106 0.000271 0.001080       2.52959709
 1  7 17   0.0106 0.000271 0.001259       2.52959948
 1  7 18   0.0106 0.000271 0.001468       2.52960226
 1  7 19   0.0106 0.000271 0.001711       2.52960550
 1  7 20   0.0106 0.000271 0.001995       2.52960928
 1  7 21   0.0106 0.000271 0.002326       2.52961368
 1  7 22   0.0106 0.000271 0.002712       2.52961881
 1  7 23   0.0106 0.000271 0.003162       2.52962478
 1  7 24   0.0106 0.000271 0.003687       2.52963174
 1  7 25   0.0106 0.000271 0.004299       2.52963984
 1  7 26   0.0106 0.000271 0.005012       2.52964928
 1  7 27   0.0106 0.000271 0.005843       2.52966027
 1  7 28   0.0106 0.000271 0.006813       2.52967305
 1  7 29   0.0106 0.000271 0.007943       2.52968793
 1  7 30   0.0106 0.000271 0.009261       2.52970523
 1  7 31   0.0106 0.000271 0.010798       2.52972535
 1  7 32   0.0106 0.000271 0.012589       2.52974873
 1  7 33   0.0106 0.000271 0.014678       2.52977588
 1  7 34   0.0106 0.000271 0.017113       2.52980740
 1  7 35   0.0106 0.000271 0.019953       2.52984394
 1  7 36   0.0106 0.000271 0.023263       2.52988629
 1  7 37   0.0106 0.000271 0.027123       2.52993531
 1  7 38   0.0106 0.000271 0.031623       2.52999197
 1  7 39   0.0106 0.000271 0.036869       2.53005736
 1  7 40   0.0106 0.000271 0.042987       2.53013271
 1  7 41   0.0106 0.000271 0.050119       2.53021933
 1  7 42   0.0106 0.000271 0.058434       2.53031865
 1  7 43   0.0106 0.000271 0.068129       2.53043219
 1  7 44   0.0106 0.000271 0.079433       2.53056149
 1  7 45   0.0106 0.000271 0.092612       2.53070805
 1  7 46   0.0106 0.000271 0.107978       2.53087323
 1  7 47   0.0106 0.000271 0.125893       2.53105808
 1  7 48   0.0106 0.000271 0.146780       2.53126306
 1  7 49   0.0106 0.000271 0.171133       2.53148774
 1  7 50   0.0106 0.000271 0.199526       2.53173928
 1  7 51   0.0106 0.000271 0.232631       2.53199616
 1  7 52   0.0106 0.000271 0.271227       2.53225966
 1  7 53   0.0106 0.000271 0.316228       2.53251767
 1  7 54   0.0106 0.000271 0.368695       2.53275224
 1  7 55   0.0106 0.000271 0.429866       2.53297452
 1  7 56   0.0106 0.000271 0.501187       2.53307325
 1  7 57   0.0106 0.000271 0.584341       2.53302107
 1  7 58   0.0106 0.000271 0.681292       2.53273300
 1  7 59   0.0106 0.000271 0.794328       2.53208807
 1  7 60   0.0106 0.000271 0.926119       2.53096462
 1  8  1   0.0106 0.000316 0.000108       2.52958384
 1  8  2   0.0106 0.000316 0.000126       2.52958408
 1  8  3   0.0106 0.000316 0.000147       2.52958436
 1  8  4   0.0106 0.000316 0.000171       2.52958469
 1  8  5   0.0106 0.000316 0.000200       2.52958507
 1  8  6   0.0106 0.000316 0.000233       2.52958551
 1  8  7   0.0106 0.000316 0.000271       2.52958603
 1  8  8   0.0106 0.000316 0.000316       2.52958664
 1  8  9   0.0106 0.000316 0.000369       2.52958734
 1  8 10   0.0106 0.000316 0.000430       2.52958816
 1  8 11   0.0106 0.000316 0.000501       2.52958911
 1  8 12   0.0106 0.000316 0.000584       2.52959023
 1  8 13   0.0106 0.000316 0.000681       2.52959153
 1  8 14   0.0106 0.000316 0.000794       2.52959304
 1  8 15   0.0106 0.000316 0.000926       2.52959480
 1  8 16   0.0106 0.000316 0.001080       2.52959686
 1  8 17   0.0106 0.000316 0.001259       2.52959926
 1  8 18   0.0106 0.000316 0.001468       2.52960205
 1  8 19   0.0106 0.000316 0.001711       2.52960531
 1  8 20   0.0106 0.000316 0.001995       2.52960910
 1  8 21   0.0106 0.000316 0.002326       2.52961352
 1  8 22   0.0106 0.000316 0.002712       2.52961867
 1  8 23   0.0106 0.000316 0.003162       2.52962467
 1  8 24   0.0106 0.000316 0.003687       2.52963166
 1  8 25   0.0106 0.000316 0.004299       2.52963980
 1  8 26   0.0106 0.000316 0.005012       2.52964928
 1  8 27   0.0106 0.000316 0.005843       2.52966031
 1  8 28   0.0106 0.000316 0.006813       2.52967315
 1  8 29   0.0106 0.000316 0.007943       2.52968809
 1  8 30   0.0106 0.000316 0.009261       2.52970547
 1  8 31   0.0106 0.000316 0.010798       2.52972568
 1  8 32   0.0106 0.000316 0.012589       2.52974916
 1  8 33   0.0106 0.000316 0.014678       2.52977643
 1  8 34   0.0106 0.000316 0.017113       2.52980808
 1  8 35   0.0106 0.000316 0.019953       2.52984479
 1  8 36   0.0106 0.000316 0.023263       2.52988732
 1  8 37   0.0106 0.000316 0.027123       2.52993656
 1  8 38   0.0106 0.000316 0.031623       2.52999347
 1  8 39   0.0106 0.000316 0.036869       2.53005917
 1  8 40   0.0106 0.000316 0.042987       2.53013486
 1  8 41   0.0106 0.000316 0.050119       2.53022189
 1  8 42   0.0106 0.000316 0.058434       2.53032169
 1  8 43   0.0106 0.000316 0.068129       2.53043578
 1  8 44   0.0106 0.000316 0.079433       2.53056572
 1  8 45   0.0106 0.000316 0.092612       2.53071303
 1  8 46   0.0106 0.000316 0.107978       2.53087909
 1  8 47   0.0106 0.000316 0.125893       2.53106496
 1  8 48   0.0106 0.000316 0.146780       2.53127114
 1  8 49   0.0106 0.000316 0.171133       2.53150626
 1  8 50   0.0106 0.000316 0.199526       2.53175099
 1  8 51   0.0106 0.000316 0.232631       2.53200987
 1  8 52   0.0106 0.000316 0.271227       2.53227545
 1  8 53   0.0106 0.000316 0.316228       2.53253645
 1  8 54   0.0106 0.000316 0.368695       2.53281349
 1  8 55   0.0106 0.000316 0.429866       2.53300862
 1  8 56   0.0106 0.000316 0.501187       2.53311309
 1  8 57   0.0106 0.000316 0.584341       2.53306777
